elements_number,y_component_number,vector_length,temporary_size,vector_recompute,load_overlap,threads_number,lws_y,time_per_pixel
2,2,16,2,true,true,32,2,2.5339917151608533e-09
2,2,8,4,true,false,256,32,2.455649968577784e-09
3,1,1,2,true,true,64,4,4.835757975367739e-10
3,1,8,4,true,false,128,2,5.572752976405644e-10
4,1,4,4,true,false,256,2,3.0446174873191686e-10
1,1,16,4,true,false,256,64,1.0736402151393468e-08
3,3,8,4,true,false,512,32,1.204442429905433e-09
2,1,4,4,true,false,512,2,4.696347182488453e-10
3,3,4,4,true,true,64,2,5.216276336087551e-10
3,3,8,2,true,false,256,4,7.321122751038355e-10
2,2,8,2,true,false,64,4,1.3883793305182661e-09
1,1,1,4,true,false,128,2,2.3020490616572165e-10
1,1,2,4,true,false,512,16,4.780691259318948e-10
1,1,8,4,true,false,256,4,1.2710069369127832e-09
3,3,2,2,true,true,512,4,2.8629199813372386e-10
3,3,4,4,true,true,64,32,5.519489222429591e-09
1,1,16,4,true,true,64,8,5.668118395296911e-09
3,1,2,4,true,true,512,8,3.754613881729079e-10
3,3,2,4,true,false,128,4,2.941125065379649e-10
2,2,4,4,true,true,512,2,5.929713420226256e-10
4,4,2,4,true,true,32,8,1.4680834304893465e-09
2,2,4,4,true,false,32,32,1.2457794835152281e-08
1,1,2,4,true,true,64,4,7.957346834131603e-10
2,1,4,2,true,true,32,8,2.3689202245780616e-09
2,1,4,4,true,true,512,1,4.901103946185879e-10
2,2,4,4,true,true,256,4,6.064521269791868e-10
4,4,4,2,true,false,64,8,1.3301528203716013e-09
4,2,4,2,true,false,128,16,8.818473325751969e-10
4,2,4,4,true,true,64,64,6.433000794416634e-09
1,1,16,4,true,false,512,512,4.1606011499400715e-08
3,1,8,4,true,false,32,16,4.441527017969538e-09
3,1,1,4,true,false,256,8,3.3274291107130345e-10
1,1,1,4,true,false,256,64,1.3807815516858068e-09
4,4,2,2,true,true,256,256,6.319250168023527e-09
3,1,2,4,true,false,128,2,3.7646872882752e-10
4,2,8,2,true,false,64,8,1.2989938067024456e-09
3,3,1,4,true,true,128,8,2.2720326524894134e-10
3,1,2,2,true,false,64,1,3.825469794195459e-10
2,2,8,4,true,true,64,2,8.850635060780131e-10
2,2,8,2,true,false,256,32,2.4528761406208653e-09
3,3,8,2,true,false,256,32,2.1249244595328412e-09
1,1,8,2,true,false,512,4,1.2186465107914711e-09
4,1,4,4,true,false,128,128,4.491424653540461e-09
2,2,8,2,true,true,32,1,1.0665829244339115e-09
1,1,2,4,true,false,256,1,4.853267438451363e-10
4,2,1,2,true,false,64,16,9.66665923425695e-10
2,1,16,2,true,false,256,8,1.1479968717387302e-09
2,1,4,2,true,true,128,64,4.5456409881594e-09
3,3,16,4,true,false,512,4,1.887345427232003e-09
2,2,2,2,true,false,512,2,3.28157539179108e-10
2,1,2,4,true,true,512,256,2.69098406264364e-09
2,1,16,2,true,false,512,256,1.0589705561604562e-08
4,4,1,2,true,true,256,64,7.501098179076924e-10
3,3,4,4,true,false,256,64,2.766614144507473e-09
3,1,16,4,true,true,512,32,1.260082940321231e-09
2,2,16,2,true,true,256,8,1.3370712373154508e-09
3,1,16,4,true,false,512,64,2.0384758242334043e-09
4,4,8,2,true,false,128,4,6.779282198020778e-10
3,1,8,2,true,false,512,2,5.333638417412293e-10
1,1,2,4,true,true,64,16,2.7050294882499428e-09
3,3,16,4,true,false,512,2,1.890772264198124e-09
4,2,8,4,true,true,512,128,2.4355655628926665e-09
3,1,8,4,true,true,64,8,1.299165383548237e-09
3,3,1,4,true,false,128,2,1.361202524438335e-10
3,1,8,2,true,true,128,16,1.2854689091529336e-09
4,1,2,2,true,false,512,1,3.309955378730543e-10
2,2,8,2,true,false,128,64,9.21502511591768e-09
3,3,16,2,true,true,512,2,1.264719018739806e-09
3,1,1,2,true,false,32,2,5.289406104772099e-10
4,1,8,2,true,true,512,32,6.017096930072546e-10
4,1,4,4,true,false,64,1,3.0204961479507303e-10
4,4,16,2,true,false,512,1,1.8293334782528044e-09
2,1,8,4,true,false,64,64,1.3104864019787893e-08
3,3,2,4,true,false,64,32,3.2364869940283335e-09
3,1,1,4,true,false,128,32,1.4305239890599356e-09
4,4,4,2,true,false,512,128,2.7002822151278058e-09
1,1,4,2,true,false,256,32,2.4264537121843137e-09
3,1,1,4,true,true,512,8,3.319931712639123e-10
1,1,8,2,true,true,256,4,1.276709176407732e-09
3,3,8,4,true,false,128,8,1.2074781713205303e-09
2,2,8,2,true,false,512,1,8.59832434167101e-10
3,3,1,2,true,false,256,16,2.266478410823318e-10
1,1,16,4,true,true,64,16,1.0793497389272405e-08
2,2,16,2,true,true,128,16,4.024680880140727e-09
4,2,8,4,true,false,512,2,4.946750570163798e-10
4,4,2,4,true,false,32,2,4.874096112304533e-10
3,1,8,2,true,false,128,128,8.645460807644279e-09
3,1,16,2,true,true,512,256,7.1319726999675e-09
3,1,16,2,true,true,128,64,7.163008528575132e-09
3,3,4,2,true,true,512,4,5.013154758289732e-10
3,3,4,4,true,false,512,2,5.07390185318497e-10
3,3,16,4,true,false,512,256,1.6736558328142964e-08
4,4,2,4,true,false,128,128,6.104030128795653e-09
2,1,2,4,true,true,512,8,2.665113000720356e-10
4,2,4,4,true,true,512,8,3.336606032893105e-10
4,2,4,2,true,true,64,1,3.529403276384399e-10
4,2,8,2,true,false,256,8,4.869059663075572e-10
2,2,16,4,true,false,128,32,7.710597131764044e-09
2,2,2,2,true,true,128,16,9.771542061785555e-10
2,2,8,2,true,false,128,128,1.8346710409853083e-08
4,4,8,4,true,false,256,256,1.6548013840824237e-08
2,2,8,2,true,false,512,64,2.445517123487685e-09
2,2,2,4,true,false,128,1,3.4004113107071516e-10
3,1,16,2,true,false,64,32,7.20729324291327e-09
2,2,2,2,true,false,512,8,3.3236838018990757e-10
4,4,2,4,true,false,128,2,2.8203344021115696e-10
4,1,1,4,true,false,64,1,3.0314292771818343e-10
3,1,8,4,true,false,32,32,8.649987921986327e-09
3,3,2,2,true,true,256,8,2.913146004077967e-10
2,1,8,4,true,true,128,16,1.8406759721146715e-09
2,2,8,4,true,true,128,2,8.835532192716771e-10
2,2,2,2,true,false,256,2,3.324531811518083e-10
3,1,4,4,true,true,256,64,1.6114808199133225e-09
3,3,4,2,true,true,512,16,4.985930036767727e-10
4,1,8,2,true,false,128,16,9.751031278802185e-10
1,1,2,2,true,false,512,16,4.78860072524395e-10
1,1,16,2,true,false,64,32,2.1424554337470336e-08
1,1,1,2,true,true,256,128,2.6954959936323115e-09
3,3,8,2,true,true,256,4,7.110103364437438e-10
4,1,8,4,true,false,512,8,4.5317184186234553e-10
4,4,4,2,true,true,64,32,5.052325966443348e-09
1,1,4,4,true,true,512,256,9.014122415767326e-09
4,2,1,4,true,false,128,2,1.921228085709421e-10
4,2,4,4,true,false,256,2,3.3718177197935195e-10
4,4,4,4,true,true,512,128,2.717011974290325e-09
4,1,4,4,true,true,256,256,4.495326827585326e-09
2,2,4,2,true,true,128,1,5.956905222221656e-10
4,4,8,4,true,false,32,1,8.375855770887156e-10
3,1,2,4,true,true,256,32,8.983376993138612e-10
4,4,2,2,true,false,32,1,3.7416606918251444e-10
4,1,4,4,true,true,32,1,3.430938296035093e-10
4,1,1,4,true,false,256,32,6.586121006240484e-10
3,1,1,2,true,false,512,4,3.2566076589981383e-10
2,1,16,2,true,false,512,512,2.08007195900598e-08
4,4,1,2,true,true,64,2,1.4677043117626172e-10
4,2,8,2,true,false,128,16,1.2946139959482193e-09
1,1,2,2,true,true,32,2,9.70281586235513e-10
4,2,8,2,true,true,256,4,4.905564336883584e-10
4,4,8,2,true,false,64,64,1.6237486827350775e-08
4,1,2,4,true,false,512,128,1.2088769820255724e-09
1,1,2,4,true,false,512,2,4.848974000286758e-10
2,2,16,2,true,true,512,32,2.227541026929222e-09
4,2,1,2,true,true,64,2,1.9192299534315055e-10
2,2,16,2,true,true,512,2,1.4706843425006121e-09
4,1,1,2,true,false,128,1,3.0108081040484825e-10
4,1,4,2,true,false,256,16,3.9523740367954154e-10
2,2,4,4,true,false,256,128,6.2810769064743284e-09
4,2,1,4,true,true,256,64,9.694920320434189e-10
4,1,16,4,true,false,64,4,9.938272791573496e-10
4,4,2,2,true,true,32,1,3.8134581949866074e-10
3,1,16,4,true,false,128,32,3.7558765107173335e-09
2,1,4,4,true,false,128,1,4.79023021390076e-10
1,1,1,4,true,false,256,1,2.3589659424981927e-10
4,4,8,2,true,false,512,128,4.1145108521490354e-09
4,2,16,2,true,true,64,4,1.21956185122969e-09
4,4,16,2,true,true,512,16,1.5656545793621368e-09
2,1,16,2,true,false,32,8,5.52541629117382e-09
3,1,4,2,true,false,32,16,3.069598021075175e-09
3,1,16,4,true,false,128,8,1.2663164451948267e-09
2,2,2,2,true,true,64,4,5.481113610990839e-10
3,3,16,2,true,true,256,16,1.937348083110874e-09
3,3,4,4,true,true,32,16,5.35599240983172e-09
3,1,4,2,true,true,32,1,4.529588076257482e-10
4,1,16,2,true,false,256,8,7.294428957031334e-10
3,3,16,2,true,false,256,8,1.262299521135019e-09
1,1,16,4,true,false,256,8,2.009137919378851e-09
2,1,8,2,true,true,256,16,1.0647552009319812e-09
4,2,4,2,true,false,32,2,5.462603323905281e-10
4,1,8,2,true,true,128,16,9.764474413821885e-10
4,2,2,2,true,true,512,512,3.8020699852816584e-09
2,2,8,2,true,true,128,32,4.70452364425859e-09
3,1,16,2,true,false,256,16,1.2570582598750175e-09
3,3,1,4,true,true,256,8,1.3676355285999733e-10
2,2,2,4,true,false,32,32,7.329267112833097e-09
2,1,16,4,true,true,512,16,1.1230413612177223e-09
3,1,1,4,true,false,256,1,3.326321005139005e-10
3,3,8,4,true,false,64,4,1.2092093668426955e-09
3,1,2,2,true,false,128,16,8.954214082792292e-10
2,1,16,2,true,true,512,1,1.1938372107634892e-09
3,1,1,4,true,false,32,8,1.4473551881915153e-09
3,1,4,2,true,true,128,64,3.060900438223833e-09
2,2,8,2,true,false,256,2,8.635969464589815e-10
4,4,4,2,true,true,512,2,4.5168209496747305e-10
4,2,2,2,true,false,32,1,2.6604090869283736e-10
4,4,8,2,true,true,64,2,6.62367582488084e-10
3,3,2,2,true,false,128,16,8.333242852172606e-10
2,2,4,4,true,false,128,2,6.162297972581221e-10
4,1,16,2,true,false,512,64,1.5866479959896376e-09
4,2,4,2,true,true,512,16,3.28614782332949e-10
4,4,8,2,true,false,32,16,7.271027427173212e-09
2,2,8,2,true,false,512,128,4.743764253861428e-09
2,2,2,2,true,false,64,64,7.55560427845582e-09
3,3,1,2,true,false,256,4,1.3647852088149492e-10
2,2,8,4,true,true,32,16,9.20492742364154e-09
3,3,2,2,true,false,512,4,2.833410573018153e-10
4,4,1,2,true,true,128,128,3.0887827126551352e-09
1,1,2,4,true,false,256,128,5.361444607365805e-09
4,2,4,4,true,true,512,512,6.4279152184060235e-09
1,1,1,4,true,true,512,512,5.333624968467474e-09
2,1,8,2,true,true,64,2,7.263703769550744e-10
1,1,2,2,true,false,128,64,5.3426353820806795e-09
4,4,1,2,true,true,512,128,8.032878899989844e-10
4,2,1,2,true,true,512,4,1.8101092818707935e-10
4,4,8,2,true,false,512,512,1.7635517143807614e-08
4,1,1,4,true,false,128,128,4.492239332764072e-09
3,3,1,2,true,false,128,1,1.4221341888068233e-10
3,1,8,4,true,false,128,64,4.430669707597994e-09
3,3,2,4,true,false,64,64,6.510721260572951e-09
2,1,8,4,true,true,256,8,7.094179946612651e-10
4,1,8,2,true,false,32,1,4.917049109771556e-10
2,2,4,2,true,true,256,1,5.875017196659398e-10
1,1,4,4,true,true,64,2,8.970472572290302e-10
4,1,16,2,true,true,32,8,2.901183366703365e-09
4,2,4,2,true,false,128,4,3.376816640467645e-10
2,2,8,4,true,true,64,8,2.4714628566031944e-09
4,2,1,4,true,true,512,8,1.877103590718728e-10
1,1,1,4,true,true,512,32,4.0029117126430546e-10
