"elements_number","y_component_number","vector_length","temporary_size","vector_recompute","load_overlap","threads_number","lws_y","time_per_pixel","point_number","method","slowdown"
24,6,2,4,"true","false",64,1,1.41924380072479e-10,120,"GA",1.2182212060092
8,4,1,2,"true","true",256,2,1.46003801983851e-10,120,"GA",1.25323730597845
15,5,1,4,"true","false",64,1,1.76365306985286e-10,120,"GA",1.51384812717925
12,6,1,4,"true","false",128,2,1.38742749517944e-10,120,"GA",1.19091138221965
6,6,1,2,"true","false",1024,8,1.17642516833282e-10,120,"GA",1.00979555916615
4,4,1,4,"true","false",256,2,1.25602448835109e-10,120,"GA",1.07812038086391
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
12,6,2,4,"true","true",128,4,1.3731975529994e-10,120,"GA",1.17869697810165
6,6,1,2,"true","true",256,1,1.17919974204394e-10,120,"GA",1.01217714049193
4,4,1,2,"true","false",1024,4,1.31614617171839e-10,120,"GA",1.12972639075567
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
6,6,1,2,"true","true",1024,2,1.16501321248061e-10,120,"GA",0.999999999999996
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GA",1.06435715851043
2,2,1,4,"true","true",512,1,1.64424333862681e-10,120,"GA",1.41135166624058
12,6,2,2,"true","false",256,1,1.39042634655403e-10,120,"GA",1.19348547437797
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GA",1.06435715851043
12,6,1,2,"true","true",128,1,1.38558641487853e-10,120,"GA",1.18933107370367
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
12,6,2,4,"true","false",256,4,1.36838289752556e-10,120,"GA",1.17456427349173
4,4,1,4,"true","true",512,1,1.28639677617769e-10,120,"GA",1.10419071852294
6,6,1,4,"true","true",1024,4,1.18152943056837e-10,120,"GA",1.01417685045184
4,4,1,4,"true","true",1024,8,1.24992786636709e-10,120,"GA",1.07288728829579
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
12,6,2,2,"true","true",512,8,1.34502841297936e-10,120,"GA",1.15451773299244
6,6,1,2,"true","false",256,4,1.17149348789584e-10,120,"GA",1.00556240508331
24,6,2,2,"true","true",64,2,1.44000381825374e-10,120,"GA",1.23604076144991
12,6,1,4,"true","false",128,2,1.38742749517944e-10,120,"GA",1.19091138221965
4,4,1,4,"true","true",512,2,1.23999015246297e-10,120,"GA",1.06435715851043
6,6,1,2,"true","false",128,2,1.17976523819686e-10,120,"GA",1.01266253941003
12,6,2,4,"true","true",256,4,1.35662211876773e-10,120,"GA",1.16446929891819
